case,reference_case,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06-svd1e-05,wide-svd,70_90,7.349757881767475,9.690767360864575,24.4437030959931,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06-svd1e-05,wide-svd,80_90,6.521598483805287,9.866778734294863,24.4437030959931,1009.0756983044574,90.0
sweep-split-active-surface-full-annular-az16-gap24-q3-reg1e-06-svd1e-05,wide-svd,90,4.589041787731069,10.18581622312056,24.4437030959931,1009.0756983044574,90.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,0_60,1.1811112508029589,3.2922798199793135,10.07504210867522,1200.0,30.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,70_90,2.039934545805295,8.243403328409292,18.377568832484243,1200.0,90.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,80_90,-0.5583503870035575,8.585176155592775,18.377568832484243,1200.0,90.0
sweep-split-active-surface-compact-annular-dipole-az16-gap30-q3-reg1e-06-svd1e-05,wide-svd,90,-8.120805071173537,9.457205192127175,18.377568832484243,1200.0,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m4,wide-svd,0_60,1.7859059727239581,4.238580179668847,10.272349017288548,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m4,wide-svd,70_90,7.470901829123831,9.774570267633852,24.3838065862314,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m4,wide-svd,80_90,6.61136393483592,9.907861120635562,24.3838065862314,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m4,wide-svd,90,4.571313786085768,10.19173933058283,24.3838065862314,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m4,wide-svd,0_60,1.815314945293624,4.091226620961965,10.301815268394819,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m4,wide-svd,70_90,7.159624088978291,9.687039808547636,24.438692794549596,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m4,wide-svd,80_90,6.374098136045768,9.952809729404917,24.438692794549596,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m4,wide-svd,90,5.260949008116247,10.98217366719152,24.438692794549596,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m4,wide-svd,0_60,1.7842186923758794,4.23821633308845,10.247375103010114,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m4,wide-svd,70_90,7.47192977196448,9.775379751229348,24.39312270764529,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m4,wide-svd,80_90,6.6118833013444895,9.908173453385203,24.39312270764529,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m4,wide-svd,90,4.556261468869037,10.182175579047371,24.39312270764529,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m4,wide-svd,0_60,1.8143975822562473,4.095737092335703,10.302752377572716,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m4,wide-svd,70_90,7.165985948146706,9.686504997113964,24.41592092578327,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m4,wide-svd,80_90,6.3790965770381085,9.948722634914365,24.41592092578327,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m4,wide-svd,90,5.246209281184989,10.962719745621897,24.41592092578327,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m5,wide-svd,0_60,1.764043821371609,4.241412266072011,10.212619761327872,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m5,wide-svd,70_90,7.493930067132466,9.793867502199648,24.466814238081355,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m5,wide-svd,80_90,6.623486649655252,9.920205495919731,24.466814238081355,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg1e-06-m5,wide-svd,90,4.414935537331423,10.08471231967889,24.466814238081355,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m5,wide-svd,0_60,1.820662476936482,4.138647300990009,10.329930809120299,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m5,wide-svd,70_90,7.25055923545804,9.707769010054516,24.324824581547674,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m5,wide-svd,80_90,6.447916110733729,9.935473785489352,24.324824581547674,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az16-gap24-q3-reg3e-06-m5,wide-svd,90,5.136565263864933,10.802166320666155,24.324824581547674,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m5,wide-svd,0_60,1.7622909076760331,4.239905415024954,10.181498990936959,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m5,wide-svd,70_90,7.493704300573216,9.794993316507783,24.477577449243967,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m5,wide-svd,80_90,6.62294985545197,9.921558100313618,24.477577449243967,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg1e-06-m5,wide-svd,90,4.399734976720057,10.078040339972407,24.477577449243967,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m5,wide-svd,0_60,1.8195495612799157,4.142308148249478,10.326131123651379,1200.0,30.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m5,wide-svd,70_90,7.255995358585036,9.70747783758665,24.31146921360324,1009.0756983044574,90.0
sweep-split-active-surface-compact-uniform-annular-az24-gap24-q3-reg3e-06-m5,wide-svd,80_90,6.452133144435001,9.932155382915285,24.31146921360324,1009.0756983044574,90.0
