case,reference_case,comparison_set,case_is_eligible_reference,eligible_reference_count,angle_group,signed_mean_db,rms_db,max_abs_db,max_abs_freq_hz,max_abs_angle_deg
axisymmetric-directivity,modal-full2,source_cv_recommended_juan_only,False,6,90,0.6842142504142561,4.532298967696899,12.356713486140002,1200.0,90.0
axisymmetric-directivity,modal-compact3,source_cv_recommended_juan_only,False,6,0_60,0.6489176130535761,0.9353151032055996,2.176667726123057,582.9191646921635,60.0
axisymmetric-directivity,modal-compact3,source_cv_recommended_juan_only,False,6,70_90,4.026455923156832,5.394142651435866,16.32960426691203,1165.838329384327,90.0
axisymmetric-directivity,modal-compact3,source_cv_recommended_juan_only,False,6,80_90,4.628732653339999,6.290826487224634,16.32960426691203,1165.838329384327,90.0
axisymmetric-directivity,modal-compact3,source_cv_recommended_juan_only,False,6,90,3.9238738274865175,7.083046075473251,16.32960426691203,1165.838329384327,90.0
axisymmetric-directivity,modal-full4-svd,source_cv_recommended_juan_only,False,6,0_60,-0.16601348952445558,0.784928417897917,3.6688868921957365,1132.6491752180323,60.0
axisymmetric-directivity,modal-full4-svd,source_cv_recommended_juan_only,False,6,70_90,5.899064474377804,9.868083532267889,32.16488382787071,1100.4048518456054,90.0
axisymmetric-directivity,modal-full4-svd,source_cv_recommended_juan_only,False,6,80_90,8.743264182365058,12.042388452891169,32.16488382787071,1100.4048518456054,90.0
axisymmetric-directivity,modal-full4-svd,source_cv_recommended_juan_only,False,6,90,14.75140216318742,16.805332851292867,32.16488382787071,1100.4048518456054,90.0
axisymmetric-directivity,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,0_60,0.27255095652696115,0.6818774977746506,2.9560285361179837,1038.6438732073716,60.0
axisymmetric-directivity,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,70_90,9.290545379241237,13.940303898380604,30.79735051206815,1132.6491752180323,90.0
axisymmetric-directivity,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,80_90,13.328641919606058,17.02300047302917,30.79735051206815,1132.6491752180323,90.0
axisymmetric-directivity,profile-ring-full-svd,source_cv_recommended_juan_only,False,6,90,23.397462282849787,23.71210370739068,30.79735051206815,1132.6491752180323,90.0
axisymmetric-directivity,profile-ring-full,source_cv_recommended_juan_only,False,6,0_60,0.2724321532133545,0.6829711743938099,2.955887338609074,1038.6438732073716,60.0
axisymmetric-directivity,profile-ring-full,source_cv_recommended_juan_only,False,6,70_90,9.289165846020365,13.940443352410595,30.810741346434035,1132.6491752180323,90.0
axisymmetric-directivity,profile-ring-full,source_cv_recommended_juan_only,False,6,80_90,13.327314869981416,17.023164237444593,30.810741346434035,1132.6491752180323,90.0
axisymmetric-directivity,profile-ring-full,source_cv_recommended_juan_only,False,6,90,23.397117384035457,23.71274729359177,30.810741346434035,1132.6491752180323,90.0
profile-ring-compact,modal-compact2,source_cv_recommended_juan_only,False,6,0_60,0.5692215707876249,1.0763051554432363,3.9296345589861517,824.3721884748535,60.0
profile-ring-compact,modal-compact2,source_cv_recommended_juan_only,False,6,70_90,-5.849281571921521,13.203596067430103,26.679571377756695,734.4321259827932,90.0
profile-ring-compact,modal-compact2,source_cv_recommended_juan_only,False,6,80_90,-9.934078002032766,16.054098164922255,26.679571377756695,734.4321259827932,90.0
profile-ring-compact,modal-compact2,source_cv_recommended_juan_only,False,6,90,-22.382040885114264,22.447451073923276,26.679571377756695,734.4321259827932,90.0
profile-ring-compact,modal-full2,source_cv_recommended_juan_only,False,6,0_60,0.6143612725123029,1.1262562711886916,4.024488004865347,824.3721884748535,60.0
profile-ring-compact,modal-full2,source_cv_recommended_juan_only,False,6,70_90,-5.874520260814789,13.358444280999429,26.856013121715122,734.4321259827932,90.0
profile-ring-compact,modal-full2,source_cv_recommended_juan_only,False,6,80_90,-10.044863012700803,16.23501091241543,26.856013121715122,734.4321259827932,90.0
profile-ring-compact,modal-full2,source_cv_recommended_juan_only,False,6,90,-22.631057418961802,22.70235226588743,26.856013121715122,734.4321259827932,90.0
profile-ring-compact,modal-compact3,source_cv_recommended_juan_only,False,6,0_60,0.3705879506026077,0.9575699643735414,3.118829711662194,824.3721884748535,60.0
