candidate,rms_0_60_db,mean_0_60_db,max_abs_0_60_db,source_model,half_depth_mm,ring_radii_mm,source_point_profile,acoustic_center_offset_mm,front_depth_mm,rear_depth_mm,front_ring_radii_mm,rear_ring_radii_mm,source_count,source_svd_rcond,source_fit_rms_db_300_1200,rms_70_90_db,mean_70_90_db,max_abs_70_90_db,rms_80_90_db,mean_80_90_db,max_abs_80_90_db,rms_90_db,mean_90_db,max_abs_90_db,hotspot_score_db
d65_r0-35-70-95_svd1e-5_ac+20mm,0.4324782819744991,0.21219583465095582,0.9378468748279687,split-discrete,65.0,0 35 70 95,symmetric_depth_rings,20.0,65.0,65.0,0 35 70 95,0 35 70 95,14,1e-05,2.748883381707622,14.354973148899308,6.46096676472874,19.474502522602165,6.3573800505993745,-6.356965987047268,6.429523187124616,6.3573800505993745,-6.356965987047268,6.429523187124616,14.354973148899308
h1659-profile-ring-compact-az24-reg1e-06_ac+20mm,1.2228167829225174,0.8251561160460227,2.448430813351891,split-profile-ring,nan,,h1659-acoustic-compact,20.0,nan,nan,,,146,,0.9420932045257976,14.355827357802804,7.427334165228315,19.851055421029344,4.858060784800591,-4.857242854071114,4.946385691093688,4.858060784800591,-4.857242854071114,4.946385691093688,14.355827357802804
h1659-modal-full4-az24-reg1e-06-svd1e-05_ac-20mm,1.030186173677883,0.7042601518338841,2.0484356656766494,split-profile-ring,nan,,h1659-modal-full-4,-20.0,nan,nan,,,968,1e-05,0.9157532803266302,14.414981606169505,4.774315819349981,18.53083043934602,8.826637018693983,-8.826614259057433,8.846658749148503,8.826637018693983,-8.826614259057433,8.846658749148503,14.414981606169505
d45_r0-20-40-60-80-95_svd1e-5_ac+0mm,1.6094039021315965,0.9649059131728428,3.448280082178883,split-discrete,45.0,0 20 40 60 80 95,symmetric_depth_rings,0.0,45.0,45.0,0 20 40 60 80 95,0 20 40 60 80 95,22,1e-05,2.398016745815988,14.361644459048977,9.504658602390865,20.443543491501238,1.2612029436026202,-1.2611807046888721,1.2686703690601178,1.2612029436026202,-1.2611807046888721,1.2686703690601178,14.471048361180573
asym_f45r55_front35_rear25_svd1e-5_ac+20mm,0.9006163776372345,0.27030022476845517,1.994808571144965,split-discrete,nan,,asymmetric_depth_rings,20.0,45.0,55.0,0 35 70 95,0 25 50 75 95,16,1e-05,2.5402373261954803,14.481200433991317,12.027373160570345,20.263391386850024,3.9633480539204498,3.963138756267927,4.003869519606269,3.9633480539204498,3.963138756267927,4.003869519606269,14.481200433991317
asym_f45r55_r0-35-70-95_svd1e-5_ac+20mm,1.0071182514137245,0.4656720748872146,2.2568284217621084,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,20.0,45.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,2.546095758160148,14.486491476739555,11.788933659884595,20.38572415786171,3.371394646697154,3.3709727357157355,3.4243082664565065,3.371394646697154,3.3709727357157355,3.4243082664565065,14.486491476739555
d45_r0-20-40-60-80-95_svd1e-6_ac+0mm,1.6268261313039225,0.9864607324874299,3.4747935265453194,split-discrete,45.0,0 20 40 60 80 95,symmetric_depth_rings,0.0,45.0,45.0,0 20 40 60 80 95,0 20 40 60 80 95,22,1e-06,2.3979618276857346,14.381744007990212,9.498049264403628,20.468949189009336,1.3004316370903755,-1.3004101177381884,1.3078913228353102,1.3004316370903755,-1.3004101177381884,1.3078913228353102,14.508570139294134
asym_f55r35_r0-35-70-95_svd1e-5_ac+20mm,1.4852740951768701,0.9580312832136322,3.1359889488846306,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,20.0,55.0,35.0,0 35 70 95,0 35 70 95,14,1e-05,2.4375515473735234,14.600825008510158,9.109245712465482,20.688802723540284,2.301490526716574,-2.300831168645381,2.355918172158596,2.301490526716574,-2.300831168645381,2.355918172158596,14.600825008510158
asym_f35r55_r0-35-70-95_svd1e-5_ac+0mm,1.4852740951772838,0.9580312832139569,3.13598894888527,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,0.0,35.0,55.0,0 35 70 95,0 35 70 95,14,1e-05,2.437551547373527,14.600825008510949,9.109245712467855,20.6888027235416,2.3014905267133083,-2.3008311686421266,2.3559181721548157,2.3014905267133083,-2.3008311686421266,2.3559181721548157,14.600825008510949
asym_f45r55_r0-35-70-95_svd1e-6_ac+20mm,1.0535740172459835,0.5101498996941579,2.3496522011461494,split-discrete,nan,0 35 70 95,asymmetric_depth_rings,20.0,45.0,55.0,0 35 70 95,0 35 70 95,14,1e-06,2.5460568505815053,14.612140859662112,11.963230724269739,20.525084828773622,3.5743814590872933,3.5739843322834197,3.6272647945528647,3.5743814590872933,3.5739843322834197,3.6272647945528647,14.612140859662112
